ID,type,route,age,cycle_time,transfer,thru,count,nextws
71,"['11', '8', '9', '10', '18']",0
72,"['11', '8', '9', '10', '18']",0
73,"['11', '8', '9', '10', '18']",0
74,"['11', '8', '9', '10', '18']",0
75,"['11', '8', '9', '10', '18']",0
76,"['11', '8', '9', '10', '18']",0
77,"['11', '8', '9', '10', '18']",0
78,"['11', '8', '9', '10', '18']",0
79,"['11', '8', '9', '10', '18']",0
80,"['14', '11', '13', '11', '8', '10', '14', '15']",0
81,"['14', '11', '13', '11', '8', '10', '14', '15']",0
82,"['14', '11', '13', '11', '8', '10', '14', '15']",0
83,"['14', '11', '13', '11', '8', '10', '14', '15']",0
84,"['14', '11', '13', '11', '8', '10', '14', '15']",0
85,"['14', '11', '13', '11', '8', '10', '14', '15']",0
86,"['14', '11', '13', '11', '8', '10', '14', '15']",0
87,"['14', '11', '13', '11', '8', '10', '14', '15']",0
88,"['14', '11', '13', '11', '8', '10', '14', '15']",0
89,"['14', '11', '13', '11', '8', '10', '14', '15']",0
90,"['14', '11', '13', '11', '8', '10', '14', '15']",0
91,"['14', '11', '13', '11', '8', '10', '14', '15']",0
92,"['14', '11', '13', '11', '8', '10', '14', '15']",0
93,"['14', '11', '13', '11', '8', '10', '14', '15']",0
94,"['14', '11', '13', '11', '8', '10', '14', '15']",0
95,"['14', '11', '13', '11', '8', '10', '14', '15']",0
96,"['14', '11', '13', '11', '8', '10', '14', '15']",0
97,"['14', '11', '13', '11', '8', '10', '14', '15']",0
98,"['14', '11', '13', '11', '8', '10', '14', '15']",0
99,"['14', '11', '13', '11', '8', '10', '14', '15']",0
0,"['4', '2', '1', '3', '14']",0
1,"['4', '2', '1', '3', '14']",0
2,"['4', '2', '1', '3', '14']",0
3,"['4', '2', '1', '3', '14']",0
4,"['4', '2', '1', '3', '14']",0
5,"['4', '2', '1', '3', '14']",0
6,"['4', '2', '1', '3', '14']",0
7,"['4', '2', '1', '3', '14']",0
